"titulo","resumen","categoria","autor","fecha","link"
"Exploración minera revela potenciales estratégicos en territorio nacional","
 La actividad en la gestión pasada identificó nuevas estructuras mineralizadas ...","Economía","Daniel Zenteno","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/1050053/"
"Siete gobernaciones se declaran en emergencia por iliquidez financiera","
 El gobernador de Santa Cruz, Mario Aguilera, expresó su preocupación ...","Economía","Rosío Flores","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/siete-gobernaciones-se-declaran-en-emergencia-por-iliquidez-financiera/"
"Crédito de $us 100 millones con Japón tiene una tasa de interés de 0,01%","
 El Gobierno pide a los senadores cumplir con los acuerdos ...","Economía","Daniel Zenteno","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/credito-de-us-100-millones-con-japon-tiene-una-tasa-de-interes-de-001/"
"Gobierno acusa incumplimiento de acuerdo al frenarse crédito de $us 100 MM","
 El ministro Sergio Cusicanqui denuncia que senadores violaron pacto firmado ...","Economía","Daniel Zenteno","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/1050010/"
"YPFB ahorró más de $us 30 millones en combustibles con Botrading","
 El presidente de YPFB, Armin Dorgathen, destacó que la empresa ...","Economía","Daniel Zenteno","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/ypfb-ahorro-mas-de-us-30-millones-en-combustibles-con-botrading/"
"Andrónico Rodríguez, entre la tentación, la postergación y el freno por su candidatura","
 Tercer hombre fuerte del poder por su condición de presidente ...","Nacional","Rubén Atahuichi","21 de marzo de 2025","https://www.la-razon.com/nacional/2025/03/21/andronico-rodriguez-entre-la-tentacion-la-postergacion-y-el-freno-por-su-candidatura/"
"Rescatan a cachorros que iban a ser sacrificados en un ritual","
 Luego de una intensa búsqueda se logró ubicar el lugar, ...","Mundo","Marco Mendoza","21 de marzo de 2025","https://www.la-razon.com/extra/2025/03/21/rescatan-a-cachorros-que-iban-a-ser-sacrificados-en-un-ritual/"
"Ministro israelí amenaza con anexar partes de la Franja de Gaza","
 ""Ordené al ejército que se apodere de más territorios en ...",NA,"AFP","21 de marzo de 2025","https://www.la-razon.com/mundo/2025/03/21/ministro-israeli-amenaza-con-anexar-partes-de-la-franja-de-gaza/"
"Tras la resurrección de Brasil, Argentina y Uruguay miden fuerzas con el Mundial de reojo","
 En el cierre de la fecha 13 de 18, no ...",NA,"AFP","21 de marzo de 2025","https://www.la-razon.com/marcas/2025/03/21/tras-la-resurreccion-de-brasil-argentina-y-uruguay-miden-fuerzas-con-el-mundial-de-reojo/"
"Diputados acusa a Senadores de ‘boicotear’ la aprobación de créditos","
 De los 36 senadores, 18 asistieron a la sesión de ...","Economía","Daniel Zenteno","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/diputados-acusa-a-senadores-de-boicotear-la-aprobacion-de-creditos/"
"Arce no se responsabiliza por caída del gas: Yo era ministro de Economía, no de Hidrocarburos","
 El Presidente considera que la caída en la producción y ...","Economía","Daniel Zenteno","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/arce-no-se-responsabiliza-por-caida-del-gas-yo-era-ministro-de-economia-no-de-hidrocarburos/"
"Gobierno firma contrato de Bs 278 millones para construir doble vía Santa Cruz-Warnes","
 El Ministerio de Obras Públicas y la empresa Asociación Accidental ...","Economía","Daniel Zenteno","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/gobierno-firma-contrato-de-bs-278-millones-para-construir-doble-via-santa-cruz-warnes/"
"YPFB defiende empresa Botrading y anuncia acciones legales contra diputado Arce","
 El presidente de la empresa estatal dijo que Botrading permitió ...","Economía","Erika Ibáñez","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/ypfb-defiende-empresa-botrading-y-anuncia-acciones-legales-contra-diputado-arce/"
"Falta de quórum en la Asamblea pospone tratamiento de crédito de $us 100 millones","
 David Choquehuanca, presidente nato de la Asamblea Legislativa, anunció que ...","Economía","Daniel Zenteno","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/1049915/"
"Andrónico Rodríguez, entre la tentación, la postergación y el freno por su candidatura","
 Tercer hombre fuerte del poder por su condición de presidente ...","Nacional","Rubén Atahuichi","21 de marzo de 2025","https://www.la-razon.com/nacional/2025/03/21/andronico-rodriguez-entre-la-tentacion-la-postergacion-y-el-freno-por-su-candidatura/"
"Rescatan a cachorros que iban a ser sacrificados en un ritual","
 Luego de una intensa búsqueda se logró ubicar el lugar, ...","Mundo","Marco Mendoza","21 de marzo de 2025","https://www.la-razon.com/extra/2025/03/21/rescatan-a-cachorros-que-iban-a-ser-sacrificados-en-un-ritual/"
